code commune;code postale;Ville;;;;;;;departement;
2828;2880;Vregny;;49.4140619853;3.4197356356;828;32;4;2;
28129;28700;Denonville;;48.3929135935;1.7994925825;129;2;1;28;
78536;78440;Sailly;;49.0430008047;1.7936823584;536;10;1;78;
21709;21500;Viserny;;47.5627164354;4.2836724043;709;21;3;21;
47066;47130;Clermont-Dessous;;44.2487245183;0.4562379051;66;27;1;47;
22305;22350;Saint-Jouan-de-l'Isle;;48.2663405550;-2.1784974150;305;6;1;22;
14727;14490;Vaubadon;;49.2037525181;-0.8361435979;727;2;1;14;
2191;2000;Chivy-lès-Étouvelles;;49.5326303582;3.5856216880;191;38;2;2;
52006;52130;Allichamps;;48.5636922014;4.8862923779;6;28;3;52;
59666;59470;Zegerscappel;;50.8833052086;2.3845870940;666;68;4;59;
2647;2110;Ribeauville;;50.0366991182;3.5875449617;647;37;5;2;
38389;38790;Saint-Georges-d'Espéranche;;45.5603583404;5.0798569447;389;15;3;38;
40068;40380;Cassen;;43.7598934223;-0.8654874066;68;12;1;40;
58220;58400;Raveau;;47.1789620063;3.1155286101;220;2;4;58;
76605;76119;Sainte-Marguerite-sur-Mer;;49.9065952849;0.9552459659;605;39;1;76;
61264;61240;Ménil-Froger;;48.7308500818;0.2653436681;264;21;2;61;
35110;35440;Feins;;48.3281217460;-1.6259703780;110;34;3;35;
34222;34230;Puilacher;;43.5667592874;3.5043817724;222;14;2;34;
67038;67720;Bietlenheim;;48.7204274461;7.7833019212;38;5;6;67;
37183;37600;Perrusson;;47.0926524002;1.0080880098;183;13;3;37;
62181;62116;Bucquoy;;50.1459428141;2.6972264141;181;20;1;62;
88493;88450;Varmonzey;;48.3232458898;6.2803187776;493;5;1;88;
3255;3800;Saint-Priest-d'Andelot;;46.0765718864;3.1543392979;255;11;3;3;
54018;54150;Anoux;;49.2727570971;5.8647091829;18;7;1;54;
21223;21121;Daix;;47.3605540938;4.9690184543;223;43;2;21;
47183;47330;Montauriol;;44.6130510503;0.5810485267;183;9;3;47;
52373;52700;Ozières;;48.1695665258;5.4715871262;373;5;1;52;
11247;11240;Monthaut;;43.0818910359;2.0592558579;247;1;2;11;
16353;16220;Saint-Sornin;;45.6950797067;0.4430142594;353;19;1;16;
49298;49170;Saint-Léger-des-Bois;;47.4625011515;-0.7276908490;298;26;1;49;
51294;51140;Hourges;;49.2810195440;3.7706570688;294;14;3;51;
2234;2160;Craonne;;49.4476368348;3.7920328076;234;12;2;2;
;;;;41.9635153362;8.6697462161;;;;;
37167;37360;Neuillé-Pont-Pierre;;47.5504384264;0.5500246226;167;16;2;37;
32189;32240;Lannemaignan;;43.8989950256;-0.2111561475;189;4;2;32;
56240;56370;Sarzeau;;47.5235379478;-2.7508713691;240;35;3;56;
58024;58110;Bazolles;;47.1455832324;3.6082535045;24;4;1;58;
11258;11120;Moussan;;43.2305950634;2.9563563629;258;33;3;11;
12118;12600;Lacroix-Barrez;;44.7740969163;2.6424974871;118;19;2;12;
62473;62330;Isbergues;;50.6163010723;2.4556634783;473;38;2;62;
39192;39130;Denezières;;46.6244113677;5.8005035536;192;28;3;39;
